Source/Medium,Sessions,%NewSessions,NewUsers,BounceRate,PagesPersession,EcommerceConversionRate,Transactions,Revenue
Click,Price,CPC,Sessions,BounceRate,Pagespersession,EcommerceConversionRate,Transactions,Revenue
25.387,"13.794,36 kr.","0,54 kr.",34.339,"52,17 %","1,82","6,92 %",2.377,"1.801.531,81 kr."
25.387,"13.794,36 kr.","0,54 kr.",34.339,"52,17 %","1,82","6,92 %",2.377,"1.801.531,81 kr."

Campaign/CampaignID,Click,Cost,CPC,Sessions,BounceRate,PagesPersession,EcommerceConversionRate,Transactions
RevenueSearch-Brand| ALPHA / 1847808627,25.387,"13.794,36 kr.","0,54 kr.",34.339,"52,17 %","1,82","6,92 %",2.377,"1.801.531,81 kr."
Turists Copenhagen / 1446883109,12.596,"14.583,24 kr.","1,16 kr.",16.061,"44,54 %","1,64","4,54 %",729,"581.398,00 kr."
Search-Bådudlejning / 1685429694,7.242,"16.577,61 kr.","2,29 kr.",6.459,"59,79 %","1,59","2,93 %",189,"181.692,63 kr."
Solstrejf-Display / 1719696379,1.132,"5.039,77 kr.","4,45 kr.",187,"87,17 %","1,13","0,00 %",0,"0,00 kr."
Search-Kanalrundfart-EN / 1942175474,872,"3.669,19 kr.","4,21 kr.",1.033,"62,92 %","1,46","1,55 %",16,"12.581,00 kr."
Search-Kanalrundfart-DK / 1941768464,707,"3.926,14 kr.","5,55 kr.",701,"77,03 %","1,55","0,57 %",4,"3.295,00 kr."
Fall Break 2019 / 6675731225,171,"670,24 kr.","3,92 kr.",180,"56,11 %","1,29","0,00 %",0,"0,00 kr."
Efterårsferie 2019 / 6675267007,90,"522,98 kr.","5,81 kr.",102,"64,71 %","1,18","0,00 %",0,"0,00 kr."
Leads-Search-Partner / 1674494320,78,"372,25 kr.","4,77 kr.",0,"0,00 %","0,00","0,00 %",0,"0,00 kr."
After Work / 1712368056,54,"488,72 kr.","9,05 kr.",82,"62,20 %","1,71","1,22 %",1,"449,00 kr."
,48.341,"59.751,23 kr.","1,24 kr.",62.130,"51,85 %","1,72","5,41 %",3.360,"2.627.979,94 kr."

Campaign,Sessions,%NewSessions,NewUsers,BounceRate,PagesPer,EcommerceConversionRate,Transactions,Revenue
Search-Brand | ALPHA,34.339,"58,00 %",19.918,"52,17 %","1,82",00:02:01,"6,92 %",2.377,"1.801.531,81 kr."
Turists Copenhagen,16.061,"57,36 %",9.212,"44,54 %","1,64",00:01:48,"4,54 %",729,"581.398,00 kr."
Search-Bådudlejning,6.459,"66,82 %",4.316,"59,79 %","1,59",00:01:32,"2,93 %",189,"181.692,63 kr."
Landingpage,1.316,"1,75 %",23,"37,69 %","1,25",00:01:41,"9,88 %",130,"105.016,00 kr."
Search-Kanalrundfart-EN,1.033,"69,99 %",723,"62,92 %","1,46",00:01:18,"1,55 %",16,"12.581,00 kr."
Search-Kanalrundfart-DK,701,"88,02 %",617,"77,03 %","1,55",00:00:48,"0,57 %",4,"3.295,00 kr."
solstrejf,449,"89,76 %",403,"51,22 %","1,31",00:00:48,"1,34 %",6,"4.715,45 kr."
Solstrejf-Display,187,"82,89 %",155,"87,17 %","1,13",00:00:16,"0,00 %",0,"0,00 kr."
Fall Break 2019,180,"80,00 %",144,"56,11 %","1,29",00:00:52,"0,00 %",0,"0,00 kr."
morsdag,177,"80,23 %",142,"11,86 %","1,34",00:01:16,"1,69 %",3,"898,00 kr."
,62.506,"57,90 %",36.193,"51,07 %","1,72",00:01:53,"5,65 %",3.531,"2.773.981,54 kr."

DefaultChannelGrouping,Sessions,%NewSessions,NewUsers,BounceRate,PagesPer,EcommerceConversionRate,Transactions,Revenue
Organic Search,125.955,"62,43 %",78.638,"39,15 %","2,57",00:02:45,"7,11 %",8.952,"6.932.115,33 kr."
Paid Search,64.234,"58,76 %",37.743,"51,22 %","1,71",00:01:51,"5,48 %",3.522,"2.751.857,74 kr."
Direct,56.484,"68,86 %",38.897,"45,82 %","2,24",00:02:12,"5,66 %",3.195,"2.535.874,86 kr."
Social,4.947,"86,05 %",4.257,"54,15 %","1,98",00:01:30,"1,52 %",75,"62.360,00 kr."
Referral,4.565,"51,59 %",2.355,"38,97 %","1,84",00:03:59,"17,61 %",804,"437.857,56 kr."
Email,688,"50,44 %",347,"53,20 %","1,84",00:02:04,"4,36 %",30,"23.804,60 kr."
(Other),610,"22,13 %",135,"45,08 %","1,74",00:03:39,"5,57 %",34,"51.596,15 kr."
Display,187,"82,89 %",155,"87,17 %","1,13",00:00:16,"0,00 %",0,"0,00 kr."
,257.670,"63,08 %",162.527,"43,99 %","2,25",00:02:24,"6,45 %",16.612,"12.795.466,24 kr."
