16.0,14.0,15,0,0,0
0.0,21.0,0,0,0,0
0.0,15.0,0,0,0,0
0.0,17.0,0,0,0,0
0.0,15.0,0,0,0,0
0.0,11.0,0,0,0,0
0.0,11.0,0,0,0,0
0.0,17.0,0,0,0,0
14.0,15.0,12,0,0,0
0.0,23.0,20,11,0,0
0.0,0.0,0,0,0,0
0.0,21.0,18,0,0,0
0.0,0.0,0,0,0,0
0.0,18.0,0,0,0,0
0.0,31.0,15,0,0,0
0.0,28.0,12,0,0,0
0.0,20.0,14,0,0,0
0.0,30.0,0,0,0,0
0.0,20.0,13,14,0,0
0.0,10.0,0,0,0,0
0.0,15.0,0,0,0,0
11.0,31.0,17,0,0,0
0.0,27.0,17,0,0,0
16.0,40.0,25,0,0,0
15.0,29.0,12,14,0,0
0.0,13.0,13,0,0,0
0.0,0.0,13,0,0,0
0.0,16.0,10,0,0,0
0.0,17.0,15,0,0,0
0.0,0.0,0,0,0,0
0.0,17.0,14,0,0,0
0.0,19.0,12,0,0,0
0.0,13.0,0,0,0,0
0.0,15.0,0,0,0,0
14.0,26.0,18,11,0,0
10.0,25.0,12,13,0,0
0.0,22.0,12,0,0,0
0.0,23.0,10,18,0,0
0.0,19.0,12,0,0,0
0.0,21.0,0,0,0,0
0.0,14.0,0,0,0,0
12.0,25.0,14,0,0,0
15.0,28.0,17,11,0,0
0.0,0.0,0,0,0,0
0.0,0.0,0,0,0,0
0.0,0.0,0,0,0,0
0.0,0.0,0,0,0,0
0.0,0.0,0,0,0,0
0.0,0.0,0,0,0,0
0.0,0.0,0,0,0,0
12.0,48.0,34,22,11,0
18.0,52.0,40,21,10,0
0.0,69.0,54,24,0,0
16.0,74.0,40,30,0,0
16.0,38.0,21,0,15,0
23.0,82.0,58,36,12,0
19.0,65.0,49,35,13,0
30.0,65.0,39,22,0,0
41.0,82.0,49,32,13,0
24.0,87.0,42,24,12,13
26.0,109.0,56,38,14,0
24.0,120.0,39,29,16,0
45.0,104.0,63,31,12,0
48.0,86.0,55,31,12,0
25.0,57.0,33,28,0,0
19.0,64.0,39,22,10,0
27.0,48.0,33,18,0,0
0.0,55.0,18,19,0,0
0.0,41.0,16,13,0,0
22.0,67.0,42,36,0,0
20.0,67.0,37,29,0,0
38.0,91.0,50,47,12,0
46.0,163.0,77,42,16,0
62.0,138.0,93,70,16,0
48.0,171.0,104,61,16,0
41.0,175.0,97,59,17,0
29.0,94.0,66,75,0,0
49.0,119.0,48,48,0,0
34.0,104.0,60,38,0,11
48.0,124.0,74,37,20,0
50.0,146.0,86,47,23,0
26.0,70.0,42,29,0,0
36.0,63.0,38,29,0,0
43.0,120.0,73,44,0,0
42.0,96.0,66,49,17,14
25.0,106.0,60,39,0,0
37.0,65.0,40,32,0,0
17.0,81.0,54,40,14,0
19.0,70.0,38,31,18,0
26.0,61.0,38,22,14,0
45.0,102.0,62,33,17,13
25.0,101.0,74,26,16,0
36.0,79.0,47,37,18,0
36.0,107.0,66,31,0,0
39.0,87.0,48,26,18,0
28.0,152.0,65,41,20,0
27.0,92.0,46,26,14,0
29.0,141.0,70,51,30,12
29.0,118.0,75,53,20,0
26.0,177.0,79,63,27,0
34.0,128.0,94,51,16,0
20.0,88.0,53,22,17,0
43.0,173.0,78,40,18,14
68.0,169.0,73,58,31,0
61.0,152.0,77,51,30,0
50.0,105.0,72,53,26,13
38.0,103.0,52,34,20,0
48.0,132.0,71,56,14,0
41.0,114.0,73,44,0,0
34.0,123.0,44,30,0,0
26.0,89.0,40,36,15,12
46.0,130.0,52,53,26,13
39.0,116.0,56,53,16,0
36.0,93.0,56,54,14,0
25.0,84.0,46,27,0,14
50.0,193.0,112,50,23,19
36.0,132.0,78,47,17,0
43.0,135.0,88,56,19,0
56.0,181.0,113,80,30,20
73.0,216.0,118,80,34,0
83.0,231.0,130,72,32,0
54.0,198.0,101,74,24,10
47.0,142.0,103,53,28,0
42.0,118.0,85,45,18,13
47.0,135.0,58,47,18,14
54.0,129.0,85,32,22,0
94.0,206.0,80,52,24,0
66.0,209.0,128,97,29,23
60.0,210.0,120,61,30,29
32.0,133.0,70,38,0,0
61.0,173.0,83,52,23,20
81.0,239.0,138,74,43,21
92.0,246.0,134,67,36,0
91.0,225.0,134,69,31,31
74.0,227.0,141,82,42,0
71.0,205.0,135,77,33,13
61.0,219.0,121,70,32,25
81.0,180.0,113,74,23,19
103.0,326.0,171,127,34,19
96.0,294.0,182,116,42,32
66.0,228.0,141,94,44,18
66.0,216.0,114,68,38,14
58.0,209.0,142,87,41,18
74.0,219.0,130,86,41,23
70.0,171.0,88,86,28,13
55.0,125.0,81,72,28,26
52.0,109.0,88,41,22,11
44.0,110.0,68,36,23,14
38.0,95.0,91,52,22,0
48.0,140.0,80,65,21,16
59.0,65.0,41,31,24,20
57.0,92.0,79,39,25,22
90.0,153.0,82,71,29,14
48.0,186.0,104,73,26,22
45.0,221.0,113,84,52,15
81.0,210.0,137,92,54,25
62.0,228.0,131,92,46,20
45.0,191.0,129,70,30,21
59.0,156.0,100,76,53,27
58.0,176.0,112,78,34,22
49.0,157.0,122,73,25,14
