Date,Sessions
04.02.2019,14
05.02.2019,21
06.02.2019,15
07.02.2019,17
08.02.2019,15
09.02.2019,11
10.02.2019,11
11.02.2019,17
12.02.2019,15
13.02.2019,23
14.02.2019,0
15.02.2019,21
16.02.2019,0
17.02.2019,18
18.02.2019,31
19.02.2019,28
20.02.2019,20
21.02.2019,30
22.02.2019,20
23.02.2019,10
24.02.2019,15
25.02.2019,31
26.02.2019,27
27.02.2019,40
28.02.2019,29
01.03.2019,13
02.03.2019,0
03.03.2019,16
04.03.2019,17
05.03.2019,20
06.03.2019,0
07.03.2019,17
08.03.2019,19
09.03.2019,13
10.03.2019,15
11.03.2019,26
12.03.2019,25
13.03.2019,22
14.03.2019,23
15.03.2019,19
16.03.2019,21
17.03.2019,14
18.03.2019,25
19.03.2019,28
20.03.2019,0
21.03.2019,0
22.03.2019,0
23.03.2019,0
24.03.2019,0
25.03.2019,0
26.03.2019,0
27.03.2019,48
28.03.2019,52
29.03.2019,69
30.03.2019,74
31.03.2019,38
01.04.2019,82
02.04.2019,65
03.04.2019,65
04.04.2019,82
05.04.2019,87
06.04.2019,109
07.04.2019,120
08.04.2019,104
09.04.2019,86
10.04.2019,57
11.04.2019,64
12.04.2019,48
13.04.2019,55
14.04.2019,41
15.04.2019,67
16.04.2019,67
17.04.2019,91
18.04.2019,163
19.04.2019,138
20.04.2019,171
21.04.2019,175
22.04.2019,94
23.04.2019,119
24.04.2019,104
25.04.2019,124
26.04.2019,146
27.04.2019,70
28.04.2019,63
29.04.2019,120
30.04.2019,96
01.05.2019,106
02.05.2019,65
03.05.2019,81
04.05.2019,70
05.05.2019,61
06.05.2019,102
07.05.2019,101
08.05.2019,79
09.05.2019,107
10.05.2019,87
11.05.2019,152
12.05.2019,92
13.05.2019,141
14.05.2019,118
15.05.2019,177
16.05.2019,128
17.05.2019,88
18.05.2019,173
19.05.2019,169
20.05.2019,152
21.05.2019,105
22.05.2019,103
23.05.2019,132
24.05.2019,114
25.05.2019,123
26.05.2019,89
27.05.2019,130
28.05.2019,116
29.05.2019,93
30.05.2019,84
31.05.2019,193
01.06.2019,132
02.06.2019,135
03.06.2019,181
04.06.2019,216
05.06.2019,231
06.06.2019,198
07.06.2019,142
08.06.2019,118
09.06.2019,135
10.06.2019,129
11.06.2019,206
12.06.2019,203
13.06.2019,209
14.06.2019,210
15.06.2019,133
16.06.2019,173
17.06.2019,239
18.06.2019,246
19.06.2019,225
20.06.2019,227
21.06.2019,205
22.06.2019,219
23.06.2019,180
24.06.2019,326
25.06.2019,294
26.06.2019,228
27.06.2019,216
28.06.2019,209
29.06.2019,219
30.06.2019,171
01.07.2019,125
02.07.2019,109
03.07.2019,110
04.07.2019,95
05.07.2019,140
06.07.2019,65
07.07.2019,92
08.07.2019,153
09.07.2019,186
10.07.2019,221
11.07.2019,210
12.07.2019,228
13.07.2019,191
14.07.2019,156
15.07.2019,176
16.07.2019,157
17.07.2019,193
18.07.2019,224
19.07.2019,204
20.07.2019,193
21.07.2019,103
22.07.2019,185
23.07.2019,223
24.07.2019,276
25.07.2019,238
26.07.2019,201
27.07.2019,176
28.07.2019,161
29.07.2019,203
30.07.2019,175
31.07.2019,127
01.08.2019,134
02.08.2019,160
03.08.2019,148
04.08.2019,157
05.08.2019,159
06.08.2019,147
07.08.2019,145
08.08.2019,136
09.08.2019,147
10.08.2019,98
11.08.2019,119
12.08.2019,130
13.08.2019,103
14.08.2019,94
15.08.2019,75
16.08.2019,110
17.08.2019,62
18.08.2019,63
19.08.2019,111
20.08.2019,111
21.08.2019,141
22.08.2019,160
23.08.2019,175
24.08.2019,199
25.08.2019,165
26.08.2019,154
27.08.2019,139
28.08.2019,122
29.08.2019,153
30.08.2019,137
31.08.2019,118
01.09.2019,91
02.09.2019,84
03.09.2019,59
04.09.2019,64
05.09.2019,53
06.09.2019,45
07.09.2019,76
08.09.2019,54
09.09.2019,46
10.09.2019,41
11.09.2019,47
12.09.2019,49
13.09.2019,80
14.09.2019,56
15.09.2019,27
16.09.2019,45
17.09.2019,31
18.09.2019,35
19.09.2019,50
20.09.2019,57
21.09.2019,49
22.09.2019,63
23.09.2019,37
24.09.2019,32
25.09.2019,31
26.09.2019,29
27.09.2019,33
28.09.2019,37
29.09.2019,21
30.09.2019,21
01.10.2019,25
02.10.2019,28
03.10.2019,29
04.10.2019,27
05.10.2019,29
06.10.2019,20
07.10.2019,21
08.10.2019,34
09.10.2019,35
10.10.2019,24
11.10.2019,18
12.10.2019,36
13.10.2019,31
14.10.2019,26
15.10.2019,39
16.10.2019,17
17.10.2019,17
18.10.2019,32
19.10.2019,17
20.10.2019,28
21.10.2019,16
22.10.2019,18
23.10.2019,13
24.10.2019,16
25.10.2019,25
26.10.2019,21
27.10.2019,21
28.10.2019,19
29.10.2019,14
30.10.2019,25
31.10.2019,14
01.11.2019,16
02.11.2019,0
03.11.2019,15
04.11.2019,18
05.11.2019,13
06.11.2019,0
07.11.2019,14
08.11.2019,0
09.11.2019,19
10.11.2019,0
11.11.2019,0
12.11.2019,0
13.11.2019,0
14.11.2019,15
15.11.2019,0
16.11.2019,0
17.11.2019,0
18.11.2019,0
19.11.2019,13
20.11.2019,11
21.11.2019,10
22.11.2019,0
23.11.2019,0
24.11.2019,12
25.11.2019,13
26.11.2019,0
27.11.2019,0
