Date,Sessions
04.02.2019,0
05.02.2019,0
06.02.2019,0
07.02.2019,0
08.02.2019,0
09.02.2019,0
10.02.2019,0
11.02.2019,0
12.02.2019,0
13.02.2019,11
14.02.2019,0
15.02.2019,0
16.02.2019,0
17.02.2019,0
18.02.2019,0
19.02.2019,0
20.02.2019,0
21.02.2019,0
22.02.2019,14
23.02.2019,0
24.02.2019,0
25.02.2019,0
26.02.2019,0
27.02.2019,0
28.02.2019,14
01.03.2019,0
02.03.2019,0
03.03.2019,0
04.03.2019,0
05.03.2019,0
06.03.2019,0
07.03.2019,0
08.03.2019,0
09.03.2019,0
10.03.2019,0
11.03.2019,11
12.03.2019,13
13.03.2019,0
14.03.2019,18
15.03.2019,0
16.03.2019,0
17.03.2019,0
18.03.2019,0
19.03.2019,11
20.03.2019,0
21.03.2019,0
22.03.2019,0
23.03.2019,0
24.03.2019,0
25.03.2019,0
26.03.2019,0
27.03.2019,22
28.03.2019,21
29.03.2019,24
30.03.2019,30
31.03.2019,0
01.04.2019,36
02.04.2019,35
03.04.2019,22
04.04.2019,32
05.04.2019,24
06.04.2019,38
07.04.2019,29
08.04.2019,31
09.04.2019,31
10.04.2019,28
11.04.2019,22
12.04.2019,18
13.04.2019,19
14.04.2019,13
15.04.2019,36
16.04.2019,29
17.04.2019,47
18.04.2019,42
19.04.2019,70
20.04.2019,61
21.04.2019,59
22.04.2019,75
23.04.2019,48
24.04.2019,38
25.04.2019,37
26.04.2019,47
27.04.2019,29
28.04.2019,29
29.04.2019,44
30.04.2019,49
01.05.2019,39
02.05.2019,32
03.05.2019,40
04.05.2019,31
05.05.2019,22
06.05.2019,33
07.05.2019,26
08.05.2019,37
09.05.2019,31
10.05.2019,26
11.05.2019,41
12.05.2019,26
13.05.2019,51
14.05.2019,53
15.05.2019,63
16.05.2019,51
17.05.2019,22
18.05.2019,40
19.05.2019,58
20.05.2019,51
21.05.2019,53
22.05.2019,34
23.05.2019,56
24.05.2019,44
25.05.2019,30
26.05.2019,36
27.05.2019,53
28.05.2019,53
29.05.2019,54
30.05.2019,27
31.05.2019,50
01.06.2019,47
02.06.2019,56
03.06.2019,80
04.06.2019,80
05.06.2019,72
06.06.2019,74
07.06.2019,53
08.06.2019,45
09.06.2019,47
10.06.2019,32
11.06.2019,52
12.06.2019,60
13.06.2019,97
14.06.2019,61
15.06.2019,38
16.06.2019,52
17.06.2019,74
18.06.2019,67
19.06.2019,69
20.06.2019,82
21.06.2019,77
22.06.2019,70
23.06.2019,74
24.06.2019,127
25.06.2019,116
26.06.2019,94
27.06.2019,68
28.06.2019,87
29.06.2019,86
30.06.2019,86
01.07.2019,72
02.07.2019,41
03.07.2019,36
04.07.2019,52
05.07.2019,65
06.07.2019,31
07.07.2019,39
08.07.2019,71
09.07.2019,73
10.07.2019,84
11.07.2019,92
12.07.2019,92
13.07.2019,70
14.07.2019,76
15.07.2019,78
16.07.2019,73
17.07.2019,75
18.07.2019,102
19.07.2019,76
20.07.2019,79
21.07.2019,59
22.07.2019,82
23.07.2019,129
24.07.2019,84
25.07.2019,128
26.07.2019,114
27.07.2019,78
28.07.2019,60
29.07.2019,63
30.07.2019,74
31.07.2019,58
01.08.2019,65
02.08.2019,89
03.08.2019,65
04.08.2019,61
05.08.2019,76
06.08.2019,57
07.08.2019,68
08.08.2019,54
09.08.2019,61
10.08.2019,56
11.08.2019,43
12.08.2019,54
13.08.2019,41
14.08.2019,54
15.08.2019,47
16.08.2019,53
17.08.2019,21
18.08.2019,31
19.08.2019,61
20.08.2019,44
21.08.2019,42
22.08.2019,67
23.08.2019,126
24.08.2019,57
25.08.2019,58
26.08.2019,63
27.08.2019,46
28.08.2019,34
29.08.2019,40
30.08.2019,50
31.08.2019,27
01.09.2019,21
02.0920.19,0
03.09.2019,25
04.09.2019,23
05.09.2019,19
06.09.2019,23
07.09.2019,29
08.09.2019,14
09.09.2019,16
10.09.2019,10
11.09.2019,18
12.09.2019,13
13.09.2019,18
14.09.2019,33
15.09.2019,0
16.09.2019,16
17.09.2019,17
18.09.2019,11
19.09.2019,13
20.09.2019,15
21.09.2019,20
22.09.2019,22
23.09.2019,12
24.09.2019,0
25.09.2019,0
26.09.2019,0
27.09.2019,0
28.09.2019,13
29.09.2019,0
30.09.2019,0
01.10.2019,0
02.10.2019,20
03.10.2019,0
04.10.2019,0
05.10.2019,16
06.10.2019,0
07.10.2019,0
08.10.2019,0
09.10.2019,11
10.10.2019,15
11.10.2019,0
12.10.2019,0
13.10.2019,0
14.10.2019,0
15.10.2019,17
16.10.2019,10
17.10.2019,0
18.10.2019,0
19.10.2019,0
20.10.2019,0
21.10.2019,0
22.10.2019,0
23.10.2019,0
24.10.2019,0
25.10.2019,0
26.10.2019,0
27.10.2019,0
28.10.2019,0
29.10.2019,0
30.10.2019,0
31.10.2019,0
01.11.2019,0
02.11.2019,0
03.11.2019,0
04.11.2019,0
05.11.2019,0
06.11.2019,0
07.11.2019,0
08.11.2019,0
09.11.2019,0
10.11.2019,0
11.11.2019,0
12.11.2019,0
13.11.2019,0
14.11.2019,0
15.11.2019,0
16.11.2019,0
17.11.2019,0
18.11.2019,0
19.11.2019,0
20.11.2019,0
21.11.2019,0
22.11.2019,0
23.11.2019,0
24.11.2019,0
25.11.2019,0
26.11.2019,0
27.11.2019,0
