Date,Sessions
04.02.2019,15
05.02.2019,0
06.02.2019,0
07.02.2019,0
08.02.2019,0
09.02.2019,0
10.02.2019,0
11.02.2019,0
12.02.2019,12
13.02.2019,20
14.02.2019,0
15.02.2019,18
16.02.2019,0
17.02.2019,0
18.02.2019,15
19.02.2019,12
20.02.2019,14
21.02.2019,0
22.02.2019,13
23.02.2019,0
24.02.2019,0
25.02.2019,17
26.02.2019,17
27.02.2019,25
28.02.2019,12
01.03.2019,13
02.03.2019,13
03.03.2019,10
04.03.2019,15
05.03.2019,14
06.03.2019,0
07.03.2019,14
08.03.2019,12
09.03.2019,0
10.03.2019,0
11.03.2019,18
12.03.2019,12
13.03.2019,12
14.03.2019,10
15.03.2019,12
16.03.2019,0
17.03.2019,0
18.03.2019,14
19.03.2019,17
20.03.2019,0
21.03.2019,0
22.03.2019,0
23.03.2019,0
24.03.2019,0
25.03.2019,0
26.03.2019,0
27.03.2019,34
28.03.2019,40
29.03.2019,54
30.03.2019,40
31.03.2019,21
01.04.2019,58
02.04.2019,49
03.04.2019,39
04.04.2019,49
05.04.2019,42
06.04.2019,56
07.04.2019,39
08.04.2019,63
09.04.2019,55
10.04.2019,33
11.04.2019,39
12.04.2019,33
13.04.2019,18
14.04.2019,16
15.04.2019,42
16.04.2019,37
17.04.2019,50
18.04.2019,77
19.04.2019,93
20.04.2019,104
21.04.2019,97
22.04.2019,66
23.04.2019,48
24.04.2019,60
25.04.2019,74
26.04.2019,86
27.04.2019,42
28.04.2019,38
29.04.2019,73
30.04.2019,66
01.05.2019,60
02.05.2019,40
03.05.2019,54
04.05.2019,38
05.05.2019,38
06.05.2019,62
07.05.2019,74
08.05.2019,47
09.05.2019,66
10.05.2019,48
11.05.2019,65
12.05.2019,46
13.05.2019,70
14.05.2019,75
15.05.2019,79
16.05.2019,94
17.05.2019,53
18.05.2019,78
19.05.2019,73
20.05.2019,77
21.05.2019,72
22.05.2019,52
23.05.2019,71
24.05.2019,73
25.05.2019,44
26.05.2019,40
27.05.2019,52
28.05.2019,56
29.05.2019,56
30.05.2019,46
31.05.2019,112
01.06.2019,78
02.06.2019,88
03.06.2019,113
04.06.2019,118
05.06.2019,130
06.06.2019,101
07.06.2019,103
08.06.2019,85
09.06.2019,58
10.06.2019,85
11.06.2019,80
12.06.2019,113
13.06.2019,128
14.06.2019,120
15.06.2019,70
16.06.2019,83
17.06.2019,138
18.06.2019,134
19.06.2019,134
20.06.2019,141
21.06.2019,135
22.06.2019,121
23.06.2019,113
24.06.2019,171
25.06.2019,182
26.06.2019,141
27.06.2019,114
28.06.2019,142
29.06.2019,130
30.06.2019,88
01.07.2019,81
02.07.2019,88
03.07.2019,68
04.07.2019,91
05.07.2019,80
06.07.2019,41
07.07.2019,79
08.07.2019,82
09.07.2019,104
10.07.2019,113
11.07.2019,137
12.07.2019,131
13.07.2019,129
14.07.2019,100
15.07.2019,112
16.07.2019,122
17.07.2019,124
18.07.2019,133
19.07.2019,110
20.07.2019,121
21.07.2019,95
22.07.2019,133
23.07.2019,148
24.07.2019,174
25.07.2019,159
26.07.2019,151
27.07.2019,95
28.07.2019,98
29.07.2019,144
30.07.2019,103
31.07.2019,68
01.08.2019,85
02.08.2019,148
03.08.2019,111
04.08.2019,112
05.08.2019,107
06.08.2019,98
07.08.2019,93
08.08.2019,94
09.08.2019,96
10.08.2019,99
11.08.2019,52
12.08.2019,77
13.08.2019,57
14.08.2019,45
15.08.2019,65
16.08.2019,46
17.08.2019,36
18.08.2019,41
19.08.2019,69
20.08.2019,77
21.08.2019,84
22.08.2019,57
23.08.2019,111
24.08.2019,109
25.08.2019,90
26.08.2019,99
27.08.2019,83
28.08.2019,67
29.08.2019,59
30.08.2019,71
31.08.2019,80
01.09.2019,49
02.0920.19,0
03.09.2019,38
04.09.2019,24
05.09.2019,38
06.09.2019,25
07.09.2019,43
08.09.2019,28
09.09.2019,17
10.09.2019,22
11.09.2019,24
12.09.2019,24
13.09.2019,26
14.09.2019,38
15.09.2019,20
16.09.2019,28
17.09.2019,23
18.09.2019,20
19.09.2019,0
20.09.2019,23
21.09.2019,46
22.09.2019,33
23.09.2019,18
24.09.2019,12
25.09.2019,17
26.09.2019,19
27.09.2019,15
28.09.2019,24
29.09.2019,0
30.09.2019,0
01.10.2019,0
02.10.2019,12
03.10.2019,13
04.10.2019,14
05.10.2019,11
06.10.2019,19
07.10.2019,12
08.10.2019,14
09.10.2019,14
10.10.2019,17
11.10.2019,19
12.10.2019,25
13.10.2019,14
14.10.2019,15
15.10.2019,11
16.10.2019,25
17.10.2019,12
18.10.2019,10
19.10.2019,0
20.10.2019,0
21.10.2019,14
22.10.2019,15
23.10.2019,0
24.10.2019,15
25.10.2019,12
26.10.2019,0
27.10.2019,0
28.10.2019,0
29.10.2019,12
30.10.2019,10
31.10.2019,0
01.11.2019,0
02.11.2019,0
03.11.2019,0
04.11.2019,0
05.11.2019,0
06.11.2019,0
07.11.2019,0
08.11.2019,0
09.11.2019,0
10.11.2019,0
11.11.2019,0
12.11.2019,0
13.11.2019,13
14.11.2019,0
15.11.2019,0
16.11.2019,0
17.11.2019,0
18.11.2019,12
19.11.2019,0
20.11.2019,0
21.11.2019,0
22.11.2019,0
23.11.2019,0
24.11.2019,0
25.11.2019,0
26.11.2019,0
27.11.2019,0
