Date,Parameters,Age_Group
13.02.2019,"Low, Low",2
13.02.2019,"Low, Low",2
13.02.2019,"Low, Low",2
13.02.2019,"Low, Low",2
13.02.2019,"Low, Low",2
13.02.2019,"Low, Low",2
13.02.2019,"Low, Low",2
13.02.2019,"Low, Low",2
13.02.2019,"Low, Low",2
13.02.2019,"Low, Low",2
13.02.2019,"Low, Low",2
13.02.2019,"Low, Low",2
13.02.2019,"Low, Low",2
13.02.2019,"Low, Low",2
13.02.2019,"Low, Low",3
13.02.2019,"Low, Low",3
13.02.2019,"Low, Low",3
13.02.2019,"Low, Low",3
13.02.2019,"Low, Low",3
13.02.2019,"Low, Low",3
13.02.2019,"Low, Low",3
13.02.2019,"Low, Low",3
13.02.2019,"Low, Low",3
13.02.2019,"Low, Low",3
13.02.2019,"Low, Low",3
13.02.2019,"Low, Low",3
13.02.2019,"Low, Low",3
13.02.2019,"Low, Low",3
13.02.2019,"Low, Low",3
13.02.2019,"Low, Low",3
13.02.2019,"Low, Low",3
13.02.2019,"Low, Low",3
13.02.2019,"Low, Low",3
13.02.2019,"Low, Low",3
13.02.2019,"Low, Low",4
13.02.2019,"Low, Low",4
13.02.2019,"Low, Low",4
13.02.2019,"Low, Low",4
13.02.2019,"Low, Low",4
13.02.2019,"Low, Low",4
13.02.2019,"Low, Low",4
13.02.2019,"Low, Low",4
13.02.2019,"Low, Low",4
13.02.2019,"Low, Low",4
13.02.2019,"Low, Low",4
15.02.2019,"Low, Low",2
15.02.2019,"Low, Low",2
15.02.2019,"Low, Low",2
15.02.2019,"Low, Low",2
15.02.2019,"Low, Low",2
15.02.2019,"Low, Low",2
15.02.2019,"Low, Low",2
15.02.2019,"Low, Low",2
15.02.2019,"Low, Low",2
15.02.2019,"Low, Low",2
15.02.2019,"Low, Low",2
15.02.2019,"Low, Low",2
15.02.2019,"Low, Low",2
15.02.2019,"Low, Low",2
15.02.2019,"Low, Low",2
15.02.2019,"Low, Low",2
15.02.2019,"Low, Low",2
15.02.2019,"Low, Low",2
15.02.2019,"Low, Low",2
15.02.2019,"Low, Low",2
15.02.2019,"Low, Low",2
15.02.2019,"Low, Low",3
15.02.2019,"Low, Low",3
15.02.2019,"Low, Low",3
15.02.2019,"Low, Low",3
15.02.2019,"Low, Low",3
15.02.2019,"Low, Low",3
15.02.2019,"Low, Low",3
15.02.2019,"Low, Low",3
15.02.2019,"Low, Low",3
15.02.2019,"Low, Low",3
15.02.2019,"Low, Low",3
15.02.2019,"Low, Low",3
15.02.2019,"Low, Low",3
15.02.2019,"Low, Low",3
15.02.2019,"Low, Low",3
15.02.2019,"Low, Low",3
15.02.2019,"Low, Low",3
15.02.2019,"Low, Low",3
17.02.2019,"Low, Low",2
17.02.2019,"Low, Low",2
17.02.2019,"Low, Low",2
17.02.2019,"Low, Low",2
17.02.2019,"Low, Low",2
17.02.2019,"Low, Low",2
17.02.2019,"Low, Low",2
17.02.2019,"Low, Low",2
17.02.2019,"Low, Low",2
17.02.2019,"Low, Low",2
17.02.2019,"Low, Low",2
17.02.2019,"Low, Low",2
17.02.2019,"Low, Low",2
17.02.2019,"Low, Low",2
17.02.2019,"Low, Low",2
17.02.2019,"Low, Low",2
17.02.2019,"Low, Low",2
17.02.2019,"Low, Low",2
18.02.2019,"Low, Low",2
18.02.2019,"Low, Low",2
18.02.2019,"Low, Low",2
18.02.2019,"Low, Low",2
18.02.2019,"Low, Low",2
18.02.2019,"Low, Low",2
18.02.2019,"Low, Low",2
18.02.2019,"Low, Low",2
18.02.2019,"Low, Low",2
18.02.2019,"Low, Low",2
18.02.2019,"Low, Low",2
18.02.2019,"Low, Low",2
18.02.2019,"Low, Low",2
18.02.2019,"Low, Low",2
18.02.2019,"Low, Low",2
18.02.2019,"Low, Low",2
18.02.2019,"Low, Low",2
18.02.2019,"Low, Low",2
18.02.2019,"Low, Low",2
18.02.2019,"Low, Low",2
18.02.2019,"Low, Low",2
18.02.2019,"Low, Low",2
18.02.2019,"Low, Low",2
18.02.2019,"Low, Low",2
18.02.2019,"Low, Low",2
18.02.2019,"Low, Low",2
18.02.2019,"Low, Low",2
18.02.2019,"Low, Low",2
18.02.2019,"Low, Low",2
18.02.2019,"Low, Low",2
18.02.2019,"Low, Low",2
18.02.2019,"Low, Low",3
18.02.2019,"Low, Low",3
18.02.2019,"Low, Low",3
18.02.2019,"Low, Low",3
18.02.2019,"Low, Low",3
18.02.2019,"Low, Low",3
18.02.2019,"Low, Low",3
18.02.2019,"Low, Low",3
18.02.2019,"Low, Low",3
18.02.2019,"Low, Low",3
18.02.2019,"Low, Low",3
18.02.2019,"Low, Low",3
18.02.2019,"Low, Low",3
18.02.2019,"Low, Low",3
18.02.2019,"Low, Low",3
19.02.2019,"Low, Low",2
19.02.2019,"Low, Low",2
19.02.2019,"Low, Low",2
19.02.2019,"Low, Low",2
19.02.2019,"Low, Low",2
19.02.2019,"Low, Low",2
19.02.2019,"Low, Low",2
19.02.2019,"Low, Low",2
19.02.2019,"Low, Low",2
19.02.2019,"Low, Low",2
19.02.2019,"Low, Low",2
19.02.2019,"Low, Low",2
19.02.2019,"Low, Low",2
19.02.2019,"Low, Low",2
19.02.2019,"Low, Low",2
19.02.2019,"Low, Low",2
19.02.2019,"Low, Low",2
19.02.2019,"Low, Low",2
19.02.2019,"Low, Low",2
19.02.2019,"Low, Low",2
19.02.2019,"Low, Low",2
19.02.2019,"Low, Low",2
19.02.2019,"Low, Low",2
19.02.2019,"Low, Low",2
19.02.2019,"Low, Low",2
19.02.2019,"Low, Low",2
19.02.2019,"Low, Low",2
19.02.2019,"Low, Low",2
19.02.2019,"Low, Low",3
19.02.2019,"Low, Low",3
19.02.2019,"Low, Low",3
19.02.2019,"Low, Low",3
19.02.2019,"Low, Low",3
19.02.2019,"Low, Low",3
19.02.2019,"Low, Low",3
19.02.2019,"Low, Low",3
19.02.2019,"Low, Low",3
19.02.2019,"Low, Low",3
19.02.2019,"Low, Low",3
19.02.2019,"Low, Low",3
20.02.2019,"Low, Medium",2
20.02.2019,"Low, Medium",2
20.02.2019,"Low, Medium",2
20.02.2019,"Low, Medium",2
20.02.2019,"Low, Medium",2
20.02.2019,"Low, Medium",2
20.02.2019,"Low, Medium",2
20.02.2019,"Low, Medium",2
20.02.2019,"Low, Medium",2
20.02.2019,"Low, Medium",2
20.02.2019,"Low, Medium",2
20.02.2019,"Low, Medium",2
20.02.2019,"Low, Medium",2
20.02.2019,"Low, Medium",2
20.02.2019,"Low, Medium",2
20.02.2019,"Low, Medium",2
20.02.2019,"Low, Medium",2
20.02.2019,"Low, Medium",2
20.02.2019,"Low, Medium",2
20.02.2019,"Low, Medium",2
20.02.2019,"Low, Medium",3
20.02.2019,"Low, Medium",3
20.02.2019,"Low, Medium",3
20.02.2019,"Low, Medium",3
20.02.2019,"Low, Medium",3
20.02.2019,"Low, Medium",3
20.02.2019,"Low, Medium",3
20.02.2019,"Low, Medium",3
20.02.2019,"Low, Medium",3
20.02.2019,"Low, Medium",3
20.02.2019,"Low, Medium",3
20.02.2019,"Low, Medium",3
20.02.2019,"Low, Medium",3
20.02.2019,"Low, Medium",3
21.02.2019,"Low, High",2
21.02.2019,"Low, High",2
21.02.2019,"Low, High",2
21.02.2019,"Low, High",2
21.02.2019,"Low, High",2
21.02.2019,"Low, High",2
21.02.2019,"Low, High",2
21.02.2019,"Low, High",2
21.02.2019,"Low, High",2
21.02.2019,"Low, High",2
21.02.2019,"Low, High",2
21.02.2019,"Low, High",2
21.02.2019,"Low, High",2
21.02.2019,"Low, High",2
21.02.2019,"Low, High",2
21.02.2019,"Low, High",2
21.02.2019,"Low, High",2
21.02.2019,"Low, High",2
21.02.2019,"Low, High",2
21.02.2019,"Low, High",2
21.02.2019,"Low, High",2
21.02.2019,"Low, High",2
21.02.2019,"Low, High",2
21.02.2019,"Low, High",2
21.02.2019,"Low, High",2
21.02.2019,"Low, High",2
21.02.2019,"Low, High",2
21.02.2019,"Low, High",2
21.02.2019,"Low, High",2
21.02.2019,"Low, High",2
22.02.2019,"Low, Low",2
22.02.2019,"Low, Low",2
22.02.2019,"Low, Low",2
22.02.2019,"Low, Low",2
22.02.2019,"Low, Low",2
22.02.2019,"Low, Low",2
22.02.2019,"Low, Low",2
22.02.2019,"Low, Low",2
22.02.2019,"Low, Low",2
22.02.2019,"Low, Low",2
22.02.2019,"Low, Low",2
22.02.2019,"Low, Low",2
22.02.2019,"Low, Low",2
22.02.2019,"Low, Low",2
